DATE,SPCS20RPSNSA
2000-01-01,76273
2000-02-01,70994
2000-03-01,72795
2000-04-01,79561
2000-05-01,92584
2000-06-01,102644
2000-07-01,111101
2000-08-01,115467
2000-09-01,108515
2000-10-01,105465
2000-11-01,95800
2000-12-01,89610
2001-01-01,82219
2001-02-01,74830
2001-03-01,79845
2001-04-01,87896
2001-05-01,104767
2001-06-01,116105
2001-07-01,128434
2001-08-01,134301
2001-09-01,124706
2001-10-01,114915
2001-11-01,98758
2001-12-01,94180
2002-01-01,88055
2002-02-01,86304
2002-03-01,92158
2002-04-01,102771
2002-05-01,119604
2002-06-01,128773
2002-07-01,136760
2002-08-01,137574
2002-09-01,129074
2002-10-01,121173
2002-11-01,108518
2002-12-01,107725
2003-01-01,98388
2003-02-01,93151
2003-03-01,91847
2003-04-01,99957
2003-05-01,115874
2003-06-01,126973
2003-07-01,140118
2003-08-01,148022
2003-09-01,152053
2003-10-01,148106
2003-11-01,133614
2003-12-01,125061
2004-01-01,109956
2004-02-01,103519
2004-03-01,107453
2004-04-01,120437
2004-05-01,139938
2004-06-01,156260
2004-07-01,172124
2004-08-01,181017
2004-09-01,170892
2004-10-01,157723
2004-11-01,144715
2004-12-01,139743
2005-01-01,128895
2005-02-01,118615
2005-03-01,121230
2005-04-01,134260
2005-05-01,152506
2005-06-01,167019
2005-07-01,174593
2005-08-01,185773
2005-09-01,178574
2005-10-01,170738
2005-11-01,151945
2005-12-01,140717
2006-01-01,125286
2006-02-01,111890
2006-03-01,112609
2006-04-01,120659
2006-05-01,139293
2006-06-01,149866
2006-07-01,155827
2006-08-01,154134
2006-09-01,139104
2006-10-01,131550
2006-11-01,119093
2006-12-01,113372
2007-01-01,103883
2007-02-01,95847
2007-03-01,97341
2007-04-01,100334
2007-05-01,111420
2007-06-01,115492
2007-07-01,120100
2007-08-01,119970
2007-09-01,106051
2007-10-01,93938
2007-11-01,77518
2007-12-01,72062
2008-01-01,63340
2008-02-01,58810
2008-03-01,59843
2008-04-01,67549
2008-05-01,78031
2008-06-01,87398
2008-07-01,95594
2008-08-01,98122
2008-09-01,96276
2008-10-01,91098
2008-11-01,79649
2008-12-01,72964
2009-01-01,60884
2009-02-01,58571
2009-03-01,59041
2009-04-01,66930
2009-05-01,76049
2009-06-01,84761
2009-07-01,94819
2009-08-01,100020
2009-09-01,97760
2009-10-01,93178
2009-11-01,89157
2009-12-01,87548
2010-01-01,76091
2010-02-01,64778
2010-03-01,63241
2010-04-01,73478
2010-05-01,88513
2010-06-01,96982
2010-07-01,95506
2010-08-01,89432
2010-09-01,77664
2010-10-01,71882
2010-11-01,66990
2010-12-01,66269
2011-01-01,62799
2011-02-01,59633
2011-03-01,61078
2011-04-01,67030
2011-05-01,75876
2011-06-01,81813
2011-07-01,85062
2011-08-01,88907
2011-09-01,85044
2011-10-01,81202
2011-11-01,74035
2011-12-01,71070
2012-01-01,66290
2012-02-01,62286
2012-03-01,62933
2012-04-01,69622
2012-05-01,81327
2012-06-01,90260
2012-07-01,96362
2012-08-01,98867
2012-09-01,91446
2012-10-01,87953
2012-11-01,79986
2012-12-01,78699
2013-01-01,71834
2013-02-01,66303
2013-03-01,67785
2013-04-01,77177
2013-05-01,93802
2013-06-01,106251
2013-07-01,117285
2013-08-01,121585
2013-09-01,116771
2013-10-01,108089
2013-11-01,92646
2013-12-01,86339
2014-01-01,74457
2014-02-01,68733
2014-03-01,82253
2014-04-01,97663
2014-05-01,117655
2014-06-01,135017
2014-07-01,145504
2014-08-01,146071
2014-09-01,135660
2014-10-01,126030
2014-11-01,111213
2014-12-01,105633
2015-01-01,90602
2015-02-01,88397
2015-03-01,94834
2015-04-01,116237
2015-05-01,137286
2015-06-01,156020
2015-07-01,168197
2015-08-01,170974
2015-09-01,157723
2015-10-01,142132
2015-11-01,123844
2015-12-01,116677
2016-01-01,102089
2016-02-01,100275
2016-03-01,105039
2016-04-01,125720
2016-05-01,149999
2016-06-01,170600
2016-07-01,177849
2016-08-01,180035
2016-09-01,165421
2016-10-01,154404
2016-11-01,138048
2016-12-01,129020
2017-01-01,115657
2017-02-01,105912
2017-03-01,113710
2017-04-01,131736
2017-05-01,159987
2017-06-01,179253
2017-07-01,187696
2017-08-01,186754
2017-09-01,166922
2017-10-01,156275
2017-11-01,140001
2017-12-01,131411
2018-01-01,115729
2018-02-01,105985
2018-03-01,113140
2018-04-01,132527
2018-05-01,157092
2018-06-01,172727
2018-07-01,178245
2018-08-01,176186
2018-09-01,156336
2018-10-01,144358
2018-11-01,126997
2018-12-01,118040
2019-01-01,99416
